echeance,strike,type,bid,ask,close,mid_option_price,reference_type,spread_pct,quote_age_seconds,flag,reference_spot,reference_type_spot,capture_ts,snapshot_version
20260626,6275.0,P,41.6,42.9,59.9,42.25,mid,0.03077,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6300.0,C,47.1,48.5,34.0,47.8,mid,0.02929,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6300.0,P,52.5,54.0,73.8,53.25,mid,0.02817,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6325.0,C,35.4,36.6,24.9,36.0,mid,0.03333,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6325.0,P,65.5,67.1,89.8,66.3,mid,0.02413,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6350.0,C,25.6,26.8,17.7,26.200000000000003,mid,0.0458,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6350.0,P,80.5,82.7,107.6,81.6,mid,0.02696,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6375.0,C,17.9,19.0,12.2,18.45,mid,0.05962,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6375.0,P,97.7,100.0,127.0,98.85,mid,0.02327,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6400.0,C,11.9,12.8,8.1,12.350000000000001,mid,0.07287,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6400.0,P,116.2,119.0,147.9,117.6,mid,0.02381,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6425.0,C,7.7,8.4,5.3,8.05,mid,0.08696,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6425.0,P,136.7,140.5,170.1,138.6,mid,0.02742,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6450.0,C,4.8,5.5,3.4,5.15,mid,0.13592,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6450.0,P,158.6,162.7,193.1,160.64999999999998,mid,0.02552,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6475.0,C,2.9,3.4,2.2,3.15,mid,0.15873,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6475.0,P,181.6,185.7,216.9,183.64999999999998,mid,0.02233,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6500.0,C,1.7,2.2,1.4,1.9500000000000002,mid,0.25641,,spread_large,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6500.0,P,205.4,209.6,241.2,207.5,mid,0.02024,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6525.0,C,1.0,1.4,1.0,1.2,mid,0.33333,,spread_large,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6525.0,P,228.4,235.0,265.7,231.7,mid,0.02849,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6550.0,C,0.6,1.0,0.8,0.8,mid,0.5,,spread_large,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6550.0,P,252.9,259.6,290.5,256.25,mid,0.02615,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6575.0,C,0.4,0.7,0.6,0.55,mid,0.54545,,spread_large,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6575.0,P,277.7,284.3,315.3,281.0,mid,0.02349,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6600.0,C,0.3,0.6,0.5,0.44999999999999996,mid,0.66667,,spread_large,6289.88,indice_last_ou_close,20260617_131429,snap1
20260626,6600.0,P,,,,,aucun,,,sans_prix,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6000.0,C,295.6,302.3,266.4,298.95000000000005,mid,0.02241,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6000.0,P,5.2,5.8,7.9,5.5,mid,0.10909,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6025.0,C,271.6,278.3,243.0,274.95000000000005,mid,0.02437,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6025.0,P,6.2,6.8,9.4,6.5,mid,0.09231,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6050.0,C,247.9,254.6,219.9,251.25,mid,0.02667,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6050.0,P,7.4,8.0,11.4,7.7,mid,0.07792,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6075.0,C,224.6,231.1,197.4,227.85,mid,0.02853,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6075.0,P,8.8,9.6,13.8,9.2,mid,0.08696,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6100.0,C,202.4,207.1,175.4,204.75,mid,0.02295,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6100.0,P,11.0,11.7,16.8,11.35,mid,0.06167,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6125.0,C,181.3,184.0,154.2,182.65,mid,0.01478,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6125.0,P,13.5,14.3,20.6,13.9,mid,0.05755,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6150.0,C,159.4,161.9,133.9,160.65,mid,0.01556,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6150.0,P,16.7,17.4,25.3,17.049999999999997,mid,0.04106,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6175.0,C,138.5,141.0,114.7,139.75,mid,0.01789,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6175.0,P,20.7,21.6,31.1,21.15,mid,0.04255,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6200.0,C,118.5,121.0,96.9,119.75,mid,0.02088,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6200.0,P,25.7,26.7,38.2,26.2,mid,0.03817,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6225.0,C,99.7,102.0,80.4,100.85,mid,0.02281,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6225.0,P,31.8,33.0,46.8,32.4,mid,0.03704,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6250.0,C,82.8,84.5,65.5,83.65,mid,0.02032,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6250.0,P,39.3,40.7,56.8,40.0,mid,0.035,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6275.0,C,67.2,68.8,52.3,68.0,mid,0.02353,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6275.0,P,48.5,50.1,68.5,49.3,mid,0.03245,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6300.0,C,53.3,54.8,40.7,54.05,mid,0.02775,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6300.0,P,59.5,61.2,82.0,60.35,mid,0.02817,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6325.0,C,41.4,42.8,31.0,42.099999999999994,mid,0.03325,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6325.0,P,72.4,74.3,97.3,73.35,mid,0.0259,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6350.0,C,31.5,32.7,23.0,32.1,mid,0.03738,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6350.0,P,87.3,89.5,114.3,88.4,mid,0.02489,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6375.0,C,23.4,24.4,16.7,23.9,mid,0.04184,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6375.0,P,104.0,106.2,132.9,105.1,mid,0.02093,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6400.0,C,16.9,17.7,11.8,17.299999999999997,mid,0.04624,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6400.0,P,122.0,124.5,153.0,123.25,mid,0.02028,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6425.0,C,11.9,12.7,8.2,12.3,mid,0.06504,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6425.0,P,142.1,144.6,174.4,143.35,mid,0.01744,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6450.0,C,8.1,8.9,5.6,8.5,mid,0.09412,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6450.0,P,162.5,166.7,196.8,164.6,mid,0.02552,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6475.0,C,5.3,6.0,3.8,5.65,mid,0.12389,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6475.0,P,184.5,188.9,219.9,186.7,mid,0.02357,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
20260630,6500.0,C,3.5,4.1,2.6,3.8,mid,0.15789,,ok,6289.88,indice_last_ou_close,20260617_131429,snap1
